title,keywords,session_year,supervisor_name,category
A Descriptive Analysis of Application of Poisson Regression in Modelling Infectious Disease Count Data in Nigeria Among Residents of Iwo Local Government,"Poisson regression, infectious disease, count data, modelling, Nigeria",2021,Prof. Adebayo,Biostatistics
Longitudinal Investigation of Spatial Distribution and Seasonal Variation of Cholera Outbreaks in Osun State Nigeria Among Residents of Ilesha Local Government,"cholera, spatial distribution, seasonal variation, outbreak, Nigeria",2015,Prof. Adesanya,Epidemiology
Community-Based Study on Knowledge and Practice of Family Planning Methods Among Residents of Ilesa Local Government,"family planning, knowledge, practice, married women, Ife Central",2017,Prof. Nwosu,Maternal & Child Health
Community-Based Study on Seroprevalence of Hepatitis B Virus Infection Among Residents of Ejigbo Local Government,"hepatitis B, seroprevalence, blood donors, teaching hospital",2018,Dr. Oluwaseun,Epidemiology
An Exploratory Analysis of Epidemiology of Road Traffic Injuries and Fatalities in Urban Communities of Southwest Nigeria Among Residents of Iwo Local Government,"road traffic injuries, fatalities, urban, epidemiology, Southwest",2021,Prof. Adewale,Epidemiology
A Descriptive Analysis of Developing a Predictive Scoring Tool for Maternal Complications Using Routine Obstetric Data Nigeria Among Residents of Ilesa Local Government,"predictive scoring, maternal complications, routine data, obstetric, Nigeria",2015,Dr. Chukwu,Biostatistics
Hospital-Based Assessment of Epidemiology of Mental Health Disorders Among Residents of Ilesa Local Government,"mental health, epidemiology, adults, general hospital, disorders",2015,Prof. Afolabi,Epidemiology
Community-Based Study on Trend Analysis of Tuberculosis Case Notifications in Osun State Over a Ten-Year Period Among Residents of Boripe Local Government,"tuberculosis, trend analysis, case notification, Osun State",2017,Prof. Eze,Epidemiology
Hospital-Based Assessment of Community Perception of Caesarean Section and Its Effect on Surgical Birth Rate in Osun State Among Residents of Ilesa Local Government,"caesarean section, community perception, surgical birth rate, Osun, Nigeria",2016,Dr. Adeyemi,Maternal & Child Health
A Cross-Sectional Study of Epidemiological Investigation of Malaria Burden Among Residents of Iwo Local Government,"malaria, children, epidemiology, rural, Nigeria",2016,Dr. Folarin,Epidemiology
Community-Based Study on Seroprevalence of Hepatitis B Virus Infection Among Residents of Ife South Local Government,"hepatitis B, seroprevalence, blood donors, teaching hospital",2018,Dr. Abiodun,Epidemiology
Multilevel Modelling of Determinants of Child Mortality in Southwest Nigerian Communities,"multilevel modelling, child mortality, determinants, Southwest Nigeria, biostatistics",2020,Prof. Eze,Biostatistics
Longitudinal Investigation of Heavy Metal Contamination of Borehole Water Sources in Industrial Areas of Osun State Nigeria Among Residents of Iwo Local Government,"heavy metals, borehole, contamination, industrial, water safety",2017,Dr. Salawu,Environmental Health
Retrospective Review of Epidemiological Study of Eye Diseases and Visual Impairment Among Residents of Ife South Local Government,"eye diseases, visual impairment, adults, rural, Osun",2018,Dr. Agboola,Epidemiology
Hospital-Based Assessment of Assessment of Primary Healthcare Governance and Accountability Mechanisms in Southwest Nigeria Among Residents of Ife East Local Government,"primary healthcare, governance, accountability, Southwest Nigeria, policy",2021,Dr. Folarin,Health Policy
